"","X","Player","Mat","Inn","NO","Runs","HS","Ave","Balls","SR","X100","X50","X30","X0","X4s","X6s","BpB","Bp4","Bp6","PrB","Pr4","Pr6","BBP","RpB","RpNB","RpI","BpI","Basra","ABP","PRICE.PAID"
"2764",2763,"varun sood",28,14,5,246,"60",27.33,224,109.82,0,1,1,1,16,10,8.62,14,"22.4",50.41,26.02,24.39,11.61,4.77,0.62,17.57,16,137.15,6.36,12500
"2766",2763,"ajay mandal",34,24,8,246,"38*",15.38,208,118.27,0,0,1,2,14,12,8,14.86,"17.33",52.03,22.76,29.27,12.5,4.92,0.65,10.25,8.67,133.64,6.21,25000
"2767",2763,"siddhesh wath",18,18,0,246,"36",13.67,228,107.89,0,0,2,5,32,5,6.16,7.13,"45.6",64.23,52.03,12.2,16.23,4.27,0.46,13.67,12.67,121.56,2.94,25000
"2775",2769,"chama milind",59,36,17,245,"26",12.89,195,125.64,0,0,0,3,17,9,7.5,11.47,"21.67",49.8,27.76,22.04,13.33,4.69,0.73,6.81,5.42,138.54,8.89,31250
"2788",2782,"shahbaz nadeem",140,50,17,243,"36",7.36,275,88.36,0,0,2,8,15,6,13.1,18.33,"45.83",39.51,24.69,14.81,7.64,4.57,0.58,4.86,5.5,95.73,8.38,62500
"2806",2805,"diwesh pathania",40,24,12,240,"41*",20,183,131.15,0,0,1,3,15,12,6.78,12.2,"15.25",55,25,30,14.75,4.89,0.69,10,7.63,151.15,8.08,25000
"2827",2822,"arjun nair",35,23,11,238,"45",19.83,201,118.41,0,0,2,2,14,7,9.57,14.36,"28.71",41.18,23.53,17.65,10.45,4.67,0.78,10.35,8.74,138.24,6.65,25000
"2840",2840,"ashutosh sharma",8,8,0,236,"84",29.5,146,161.64,0,3,0,1,26,11,3.95,5.62,"13.27",72.03,44.07,27.97,25.34,4.59,0.61,29.5,18.25,191.14,2.63,25000
"2847",2840,"hayden walsh",72,26,11,236,"30",15.73,233,101.29,0,0,1,2,12,10,10.59,19.42,"23.3",45.76,20.34,25.42,9.44,4.91,0.61,9.08,8.96,117.02,8.31,62500
"2848",2848,"sushant marathe",8,8,1,235,"90",33.57,175,134.29,0,1,2,1,27,6,5.3,6.48,"29.17",61.28,45.96,15.32,18.86,4.36,0.64,29.38,21.88,167.86,1.25,12500
"2891",2890,"girinath reddy",22,16,4,228,"62",19,168,135.71,0,1,1,2,12,14,6.46,14,"12",57.89,21.05,36.84,15.48,5.08,0.68,14.25,10.5,154.71,6.25,25000
"2894",2890,"wilkin mota",21,17,2,228,"50",15.2,249,91.57,0,1,1,2,19,3,11.32,13.11,"83",41.23,33.33,7.89,8.84,4.27,0.59,13.41,14.65,106.77,5.24,12500
"2912",2909,"parvinder singh",10,10,2,226,"52",28.25,187,120.86,0,2,2,0,21,1,8.5,8.9,"187",39.82,37.17,2.65,11.76,4.09,0.82,22.6,18.7,149.11,4.4,12500
"2937",2935,"pradeep sangwan",95,41,20,223,"29",10.62,209,106.7,0,0,0,7,22,5,7.74,9.5,"41.8",52.91,39.46,13.45,12.92,4.37,0.58,5.44,5.1,117.32,8.2,25000
"2954",2954,"shoaib khan",13,13,2,220,"57",20,185,118.92,0,1,3,2,25,5,6.17,7.4,"37",59.09,45.45,13.64,16.22,4.33,0.58,16.92,14.23,138.92,3.31,25000
"2955",2954,"shubham sharma",12,10,0,220,"56",22,191,115.18,0,1,2,0,26,3,6.59,7.35,"63.67",55.45,47.27,8.18,15.18,4.21,0.6,22,19.1,137.18,2.6,25000
"2974",2965,"taskin ahmed",136,56,23,218,"18",6.61,251,86.85,0,0,0,9,16,8,10.46,15.69,"31.38",51.38,29.36,22.02,9.56,4.67,0.47,3.89,4.48,93.46,9,62500
"2982",2982,"amitoze singh",17,13,1,216,"49",18,173,124.86,0,0,1,0,17,8,6.92,10.18,"21.63",53.7,31.48,22.22,14.45,4.64,0.68,16.62,13.31,142.86,6.15,12500
"2988",2982,"harpreet brar",52,28,14,216,"25*",15.43,193,111.92,0,0,0,2,13,10,8.39,14.85,"19.3",51.85,24.07,27.78,11.92,4.87,0.61,7.71,6.89,127.35,7.21,475000
"2996",2989,"dhawal kulkarni",151,45,24,215,"28",10.24,212,101.42,0,0,0,2,19,3,9.64,11.16,"70.67",43.72,35.35,8.37,10.38,4.27,0.64,4.78,4.71,111.65,9.58,93750
"2997",2989,"kuldeep yadav",128,38,25,215,"23",16.54,249,86.35,0,0,0,4,16,2,13.83,15.56,"124.5",35.35,29.77,5.58,7.23,4.22,0.6,5.66,6.55,102.88,9.16,250000
"3007",3001,"jaskaran singh",32,23,11,214,"31*",17.83,146,146.58,0,0,1,1,13,15,5.21,11.23,"9.73",66.36,24.3,42.06,19.18,5.07,0.61,9.3,6.35,164.41,6.57,12500
"3009",3001,"ajantha mendis",128,49,17,214,"27",6.69,246,86.99,0,0,0,5,16,7,10.7,15.38,"35.14",49.53,29.91,19.63,9.35,4.61,0.48,4.37,5.02,93.68,8.57,725000
"3010",3001,"safyaan sharif",77,31,16,214,"26",14.27,178,120.22,0,0,0,3,12,6,9.89,14.83,"29.67",39.25,22.43,16.82,10.11,4.67,0.81,6.9,5.74,134.49,8.23,25000
"3011",3001,"nathan rimmington",118,43,21,214,"26",9.73,207,103.38,0,0,0,4,10,6,12.94,20.7,"34.5",35.51,18.69,16.82,7.73,4.75,0.72,4.98,4.81,113.11,9.42,37500
"3012",3001,"ravi rampaul",175,53,29,214,"23",8.92,210,101.9,0,0,0,6,12,9,10,17.5,"23.33",47.66,22.43,25.23,10,4.86,0.59,4.04,3.96,110.82,9.6,112500
"3025",3015,"shubham chaubey",19,17,3,213,"35",15.21,177,120.34,0,0,1,3,12,10,8.05,14.75,"17.7",50.7,22.54,28.17,12.43,4.91,0.68,12.53,10.41,135.55,5.82,12500
"3034",3027,"dawlat zadran",68,38,19,212,"27*",11.16,142,149.3,0,0,0,6,17,11,5.07,8.35,"12.91",63.21,32.08,31.13,19.72,4.79,0.68,5.58,3.74,160.45,8.45,62500
"3035",3027,"swapnil gugale",18,17,0,212,"25",12.47,201,105.47,0,0,0,1,24,7,6.48,8.38,"28.71",65.09,45.28,19.81,15.42,4.45,0.44,12.47,11.82,117.94,1.76,25000
"3038",3036,"morne morkel",186,49,25,211,"23",8.79,191,110.47,0,0,0,8,16,8,7.96,11.94,"23.88",53.08,30.33,22.75,12.57,4.67,0.59,4.31,3.9,119.26,9.24,350000
"3072",3068,"ninad rathva",29,16,2,207,"42",14.79,198,104.55,0,0,2,2,27,1,7.07,7.33,"198",55.07,52.17,2.9,14.14,4.07,0.55,12.94,12.38,119.33,4.81,25000
"3084",3076,"mitchell starc",121,41,20,206,"29",9.81,217,94.93,0,0,0,2,15,2,12.76,14.47,"108.5",34.95,29.13,5.83,7.83,4.24,0.67,5.02,5.29,104.74,8.63,1175000
"3091",3090,"bhanu pania",19,14,4,204,"55",20.4,170,120,0,1,1,2,14,10,7.08,12.14,"17",56.86,27.45,29.41,14.12,4.83,0.6,14.57,12.14,140.4,5.71,25000
"3119",3107,"ben hilfenhaus",95,40,19,202,"38",9.62,203,99.51,0,0,2,3,10,8,11.28,20.3,"25.38",43.56,19.8,23.76,8.87,4.89,0.62,5.05,5.08,109.13,9.2,125000
"3122",3107,"nathan mcandrew",52,26,14,202,"30",16.83,139,145.32,0,0,1,2,18,7,5.56,7.72,"19.86",56.44,35.64,20.79,17.99,4.56,0.77,7.77,5.35,162.16,7.88,25000
"3126",3125,"jagrit anand",15,12,1,201,"54",18.27,211,95.26,0,1,1,0,14,6,10.55,15.07,"35.17",45.77,27.86,17.91,9.48,4.6,0.57,16.75,17.58,113.53,4.17,12500
"3127",3125,"writtick chatterjee",28,15,5,201,"51",20.1,165,121.82,0,1,3,2,13,10,7.17,12.69,"16.5",55.72,25.87,29.85,13.94,4.87,0.63,13.4,11,141.92,6.2,25000
"3160",3157,"ramandeep singh",28,18,6,198,"54",16.5,152,130.26,0,1,0,1,14,9,6.61,10.86,"16.89",55.56,28.28,27.27,15.13,4.78,0.68,11,8.44,146.76,5.39,25000
"3162",3157,"arjun yadav",19,15,1,198,"44",14.14,178,111.24,0,0,2,1,17,7,7.42,10.47,"25.43",55.56,34.34,21.21,13.48,4.58,0.57,13.2,11.87,125.38,5.4,37500
"3167",3157,"neil wagner",78,38,16,198,"16",9,160,123.75,0,0,0,6,13,8,7.62,12.31,"20",50.51,26.26,24.24,13.13,4.76,0.71,5.21,4.21,132.75,8.68,62500
"3170",3168,"dushmantha chameera",106,49,22,197,"24",7.3,208,94.71,0,0,0,9,15,7,9.45,13.87,"29.71",51.78,30.46,21.32,10.58,4.64,0.51,4.02,4.24,102.01,9.37,62500
"3174",3171,"akila dananjaya",114,45,18,196,"28",7.26,236,83.05,0,0,0,7,14,3,13.88,16.86,"78.67",37.76,28.57,9.18,7.2,4.35,0.56,4.36,5.24,90.31,9.13,20000
"3191",3183,"jade dernbach",168,47,21,194,"24",7.46,190,102.11,0,0,0,7,17,5,8.64,11.18,"38",50.52,35.05,15.46,11.58,4.45,0.57,4.13,4.04,109.57,10.21,62500
"3201",3201,"jacob lintott",64,27,11,193,"41",12.06,186,103.76,0,0,1,2,10,7,10.94,18.6,"26.57",42.49,20.73,21.76,9.14,4.82,0.66,7.15,6.89,115.83,8.96,25000
"3219",3217,"vivrant sharma",9,8,0,191,"63",23.88,149,128.19,0,2,0,0,20,7,5.52,7.45,"21.29",63.87,41.88,21.99,18.12,4.52,0.57,23.88,18.63,152.06,2.63,325000
"3227",3217,"prasanna jayawardene",23,17,3,191,"29",13.64,213,89.67,0,0,0,0,21,1,9.68,10.14,"213",47.12,43.98,3.14,10.33,4.09,0.53,11.24,12.53,103.31,4.76,62500
"3229",3217,"zaheer khan",137,49,27,191,"26",8.68,221,86.43,0,0,0,7,17,3,11.05,13,"73.67",45.03,35.6,9.42,9.05,4.3,0.52,3.9,4.51,95.11,8.96,5e+05
"3235",3232,"mitesh patel",12,10,1,190,"60",21.11,163,116.56,0,1,2,1,20,3,7.09,8.15,"54.33",51.58,42.11,9.47,14.11,4.26,0.66,19,16.3,137.68,3.2,25000
"3238",3232,"samuel badree",201,60,40,190,"29",9.5,229,82.97,0,0,0,4,8,5,17.62,28.63,"45.8",32.63,16.84,15.79,5.68,4.77,0.59,3.17,3.82,92.47,9.55,62500
"3247",3239,"vikramjeet malik",41,18,3,189,"48",12.6,167,113.17,0,0,3,2,20,5,6.68,8.35,"33.4",58.2,42.33,15.87,14.97,4.4,0.56,10.5,9.28,125.77,5.72,25000
"3259",3252,"xavier bartlett",29,13,8,188,"42",37.6,142,132.39,0,0,2,1,20,4,5.92,7.1,"35.5",55.32,42.55,12.77,16.9,4.33,0.71,14.46,10.92,169.99,8.31,25000
"3287",3276,"jandre coetzee",51,27,14,186,"26",14.31,173,107.51,0,0,0,3,13,3,10.81,13.31,"57.67",37.63,27.96,9.68,9.25,4.38,0.74,6.89,6.41,121.82,8.07,250
"3293",3288,"shadab jakati",91,28,10,185,"43",10.28,179,103.35,0,0,1,1,18,3,8.52,9.94,"59.67",48.65,38.92,9.73,11.73,4.29,0.6,6.61,6.39,113.63,7.89,25000
"3296",3288,"shoaib khan",12,11,1,185,"30",18.5,191,96.86,0,0,1,0,11,2,14.69,17.36,"95.5",30.27,23.78,6.49,6.81,4.31,0.72,16.82,17.36,115.36,4,25000
"3328",3319,"atit sheth",41,22,15,182,"29*",26,147,123.81,0,0,0,0,14,6,7.35,10.5,"24.5",50.55,30.77,19.78,13.61,4.6,0.71,8.27,6.68,149.81,7.27,25000
"3342",3333,"rahul chahar",93,36,15,181,"25",8.62,177,102.26,0,0,0,7,17,5,8.05,10.41,"35.4",54.14,37.57,16.57,12.43,4.45,0.54,5.03,4.92,110.88,8.72,656250
"3358",3344,"mark steketee",69,35,10,180,"33",7.2,181,99.45,0,0,1,6,11,7,10.06,16.45,"25.86",47.78,24.44,23.33,9.94,4.78,0.58,5.14,5.17,106.65,8.69,50000
"3388",3375,"sulieman benn",92,30,12,178,"21",9.89,188,94.68,0,0,0,4,11,11,8.55,17.09,"17.09",61.8,24.72,37.08,11.7,5,0.41,5.93,6.27,104.57,9.27,37500
"3425",3411,"dane paterson",105,38,17,175,"24",8.33,145,120.69,0,0,0,7,13,5,8.06,11.15,"29",46.86,29.71,17.14,12.41,4.56,0.73,4.61,3.82,129.02,9.18,62500
"3426",3411,"paul van meekeren",96,36,14,175,"24",7.95,164,106.71,0,0,0,6,14,7,7.81,11.71,"23.43",56,32,24,12.8,4.67,0.54,4.86,4.56,114.66,10.17,25000
"3460",3449,"ben laughlin",165,48,21,172,"22*",6.37,190,90.53,0,0,0,10,11,5,11.88,17.27,"38",43.02,25.58,17.44,8.42,4.63,0.56,3.58,3.96,96.9,9.79,62500
"3485",3485,"uday kaul",16,8,2,169,"69",28.17,173,97.69,0,1,2,0,17,1,9.61,10.18,"173",43.79,40.24,3.55,10.4,4.11,0.61,21.13,21.63,125.85,4.63,12500
"3496",3485,"samiullah beigh",23,20,9,169,"24",15.36,164,103.05,0,0,0,0,9,3,13.67,18.22,"54.67",31.95,21.3,10.65,7.32,4.5,0.76,8.45,8.2,118.41,8.65,12500
"3504",3501,"gerald coetzee",38,24,4,168,"37",8.4,136,123.53,0,0,1,5,10,11,6.48,13.6,"12.36",63.1,23.81,39.29,15.44,5.05,0.54,7,5.67,131.93,7.67,25000
"3506",3501,"suranga lakmal",72,35,17,168,"33",9.33,166,101.2,0,0,1,5,14,6,8.3,11.86,"27.67",54.76,33.33,21.43,12.05,4.6,0.52,4.8,4.74,110.54,9.69,62500
"3507",3501,"garey mathurin",56,30,14,168,"28",10.5,194,86.6,0,0,0,5,9,5,13.86,21.56,"38.8",39.29,21.43,17.86,7.22,4.71,0.57,5.6,6.47,97.1,8.23,37500
"3513",3511,"mohit hooda",6,6,0,167,"65",27.83,183,91.26,0,1,1,0,10,2,15.25,18.3,"91.5",31.14,23.95,7.19,6.56,4.33,0.67,27.83,30.5,119.09,3.5,12500
"3525",3511,"junior dala",109,26,13,167,"27",12.85,145,115.17,0,0,0,2,15,4,7.63,9.67,"36.25",50.3,35.93,14.37,13.1,4.42,0.66,6.42,5.58,128.02,9.23,62500
"3539",3529,"luke wood",98,36,15,166,"33",7.9,171,97.08,0,0,1,8,9,4,13.15,19,"42.75",36.14,21.69,14.46,7.6,4.62,0.67,4.61,4.75,104.98,8.22,125000
"3540",3529,"mohit sharma",133,39,19,166,"21",8.3,157,105.73,0,0,0,4,10,7,9.24,15.7,"22.43",49.4,24.1,25.3,10.83,4.82,0.6,4.26,4.03,114.03,9.51,62500
"3556",3541,"jacob duffy",101,41,22,165,"18",8.68,122,135.25,0,0,0,5,11,8,6.42,11.09,"15.25",55.76,26.67,29.09,15.57,4.84,0.71,4.02,2.98,143.93,9.63,62500
"3559",3557,"dharmendrasinh jadeja",54,21,6,164,"59",10.93,113,145.13,0,1,0,2,14,8,5.14,8.07,"14.13",63.41,34.15,29.27,19.47,4.73,0.66,7.81,5.38,156.07,7.76,25000
"3584",3568,"mustafizur rahman",223,63,37,163,"21",6.27,213,76.53,0,0,0,11,8,10,11.83,26.63,"21.3",56.44,19.63,36.81,8.45,5.11,0.36,2.59,3.38,82.8,10.52,250000
"3594",3592,"nakul sharma",14,12,3,161,"53",17.89,128,125.78,0,1,1,0,10,9,6.74,12.8,"14.22",58.39,24.84,33.54,14.84,4.95,0.61,13.42,10.67,143.67,5.67,12500
"3604",3601,"joshua little",89,37,24,161,"27",12.38,175,92,0,0,0,5,14,4,9.72,12.5,"43.75",49.69,34.78,14.91,10.29,4.44,0.52,4.35,4.73,104.38,10.49,550000
"3607",3606,"bhagmender lather",12,6,3,160,"59",53.33,130,123.08,0,1,2,0,7,14,6.19,18.57,"9.29",70,17.5,52.5,16.15,5.33,0.44,26.67,21.67,176.41,5.67,25000
"3609",3606,"qamran iqbal",6,6,0,160,"47",26.67,155,103.23,0,0,2,0,12,6,8.61,12.92,"25.83",52.5,30,22.5,11.61,4.67,0.55,26.67,25.83,129.89,1.17,25000
"3641",3635,"jatin saxena",18,13,0,157,"45",12.08,124,126.61,0,0,1,3,21,3,5.17,5.9,"41.33",64.97,53.5,11.47,19.35,4.25,0.55,12.08,9.54,138.69,5.08,25000
"3650",3635,"tanay thyagarajan",20,16,5,157,"25",14.27,116,135.34,0,0,0,4,12,8,5.8,9.67,"14.5",61.15,30.57,30.57,17.24,4.8,0.64,9.81,7.25,149.62,7.94,25000
"3660",3653,"sharad lumba",17,12,0,156,"36",13,167,93.41,0,0,1,0,6,8,11.93,27.83,"20.88",46.15,15.38,30.77,8.38,5.14,0.55,13,13.92,106.41,5.67,25000
"3665",3662,"pranav gupta",11,10,1,155,"52",17.22,215,72.09,0,1,0,1,13,2,14.33,16.54,"107.5",41.29,33.55,7.74,6.98,4.27,0.46,15.5,21.5,89.32,3.4,25000
"3683",3669,"reagan pinto",11,10,1,154,"33",17.11,162,95.06,0,0,2,0,16,1,9.53,10.13,"162",45.45,41.56,3.9,10.49,4.12,0.58,15.4,16.2,112.17,5.5,12500
"3690",3689,"abhijeet tomar",8,8,1,153,"84",21.86,159,96.23,0,1,0,1,11,5,9.94,14.45,"31.8",48.37,28.76,19.61,10.06,4.63,0.55,19.13,19.88,118.08,1.5,50000
"3715",3705,"shaun tait",171,52,24,152,"26*",5.43,186,81.72,0,0,0,11,8,6,13.29,23.25,"31",44.74,21.05,23.68,7.53,4.86,0.49,2.92,3.58,87.15,10.42,125000
"3723",3722,"sanvir singh",15,8,5,151,"55",50.33,81,186.42,0,1,0,0,8,10,4.5,10.13,"8.1",60.93,21.19,39.74,22.22,5.11,0.94,18.88,10.13,236.75,5.75,25000
"3745",3735,"imtiaz ahmed",20,14,4,150,"34",15,90,166.67,0,0,1,3,11,11,4.09,8.18,"8.18",73.33,29.33,44,24.44,5,0.59,10.71,6.43,181.67,8.57,25000
"3754",3748,"jack prestwidge",25,14,4,149,"33",14.9,124,120.16,0,0,1,1,11,8,6.53,11.27,"15.5",61.75,29.53,32.21,15.32,4.84,0.54,10.64,8.86,135.06,6.93,25000
"3814",3803,"shamar springer",16,15,5,145,"30",14.5,144,100.69,0,0,1,1,8,6,10.29,18,"24",46.9,22.07,24.83,9.72,4.86,0.59,9.67,9.6,115.19,6.6,25000
"3835",3822,"trent boult",189,46,32,144,"23",10.29,149,96.64,0,0,0,3,4,7,13.55,37.25,"21.29",40.28,11.11,29.17,7.38,5.27,0.62,3.13,3.24,106.93,9.98,1e+06
"3844",3838,"seth rance",84,24,11,143,"42",11,127,112.6,0,0,1,1,13,6,6.68,9.77,"21.17",61.54,36.36,25.17,14.96,4.63,0.51,5.96,5.29,123.6,9.67,62500
"3853",3852,"yash kothari",7,7,1,142,"53",23.67,155,91.61,0,1,1,0,20,0,7.75,7.75,"0",56.34,56.34,0,12.9,4,0.46,20.29,22.14,115.28,1,25000
"3877",3869,"pratyush singh",23,21,3,141,"39",7.83,163,86.5,0,0,1,4,19,0,8.58,8.58,"0",53.9,53.9,0,11.66,4,0.45,6.71,7.76,94.34,5.19,12500
"3884",3869,"jason behrendorff",122,27,16,141,"26",12.82,132,106.82,0,0,0,2,7,5,11,18.86,"26.4",41.13,19.86,21.28,9.09,4.83,0.69,5.22,4.89,119.64,9.59,93750
"3886",3886,"ashwin das",12,8,3,140,"68",28,77,181.82,0,1,1,0,14,7,3.67,5.5,"11",70,40,30,27.27,4.67,0.75,17.5,9.63,209.82,5.88,25000
"3900",3886,"bandaru ayyappa",40,17,6,140,"24",12.73,118,118.64,0,0,0,2,6,10,7.38,19.67,"11.8",60,17.14,42.86,13.56,5.25,0.55,8.24,6.94,131.37,9.71,25000
"3911",3906,"sagar trivedi",17,12,2,139,"44",13.9,134,103.73,0,0,1,0,9,7,8.38,14.89,"19.14",56.12,25.9,30.22,11.94,4.88,0.52,11.58,11.17,117.63,5.08,12500
"3960",3949,"m mohammed",35,18,8,136,"34",13.6,73,186.3,0,0,1,4,9,9,4.06,8.11,"8.11",66.18,26.47,39.71,24.66,5,0.84,7.56,4.06,199.9,6.67,25000
"3962",3949,"anurag verma",53,24,8,136,"22",8.5,135,100.74,0,0,0,4,12,3,9,11.25,"45",48.53,35.29,13.24,11.11,4.4,0.58,5.67,5.63,109.24,8.92,25000
"3973",3963,"saahil jain",12,11,1,135,"31",13.5,130,103.85,0,0,1,1,14,2,8.13,9.29,"65",50.37,41.48,8.89,12.31,4.25,0.59,12.27,11.82,117.35,5.45,25000
"3990",3979,"pardeep sahu",15,11,4,134,"27*",19.14,118,113.56,0,0,0,1,9,4,9.08,13.11,"29.5",44.78,26.87,17.91,11.02,4.62,0.7,12.18,10.73,132.7,6.82,25000
"4015",4014,"sandeep sharma",5,5,0,132,"60",26.4,116,113.79,0,1,1,1,17,3,5.8,6.82,"38.67",65.15,51.52,13.64,17.24,4.3,0.48,26.4,23.2,140.19,2,62500
"4029",4029,"rohit sharma",4,4,0,131,"81",32.75,97,135.05,0,1,0,0,13,3,6.06,7.46,"32.33",53.44,39.69,13.74,16.49,4.38,0.75,32.75,24.25,167.8,2,25000
"4036",4029,"salman nizar",13,9,4,131,"38",26.2,89,147.19,0,0,1,1,4,11,5.93,22.25,"8.09",62.6,12.21,50.38,16.85,5.47,0.66,14.56,9.89,173.39,5.78,25000
"4040",4029,"tymal mills",172,40,19,131,"27*",6.24,143,91.61,0,0,0,7,11,6,8.41,13,"23.83",61.07,33.59,27.48,11.89,4.71,0.4,3.28,3.58,97.85,10.05,187500
"4042",4029,"manan sharma",26,13,5,131,"20",16.38,165,79.39,0,0,0,0,9,2,15,18.33,"82.5",36.64,27.48,9.16,6.67,4.36,0.54,10.08,12.69,95.77,6.77,25000
"4044",4029,"abhimanyu mithun",73,33,12,131,"18",6.24,106,123.58,0,0,0,7,13,5,5.89,8.15,"21.2",62.6,39.69,22.9,16.98,4.56,0.56,3.97,3.21,129.82,8.7,37500
"4045",4029,"rahul sharma",74,35,9,131,"14",5.04,133,98.5,0,0,0,10,10,5,8.87,13.3,"26.6",53.44,30.53,22.9,11.28,4.67,0.52,3.74,3.8,103.53,8.97,37500
"4069",4046,"varun aaron",90,31,18,130,"17",10,154,84.42,0,0,0,4,11,4,10.27,14,"38.5",52.31,33.85,18.46,9.74,4.53,0.45,4.19,4.97,94.42,9.61,62500
"4077",4070,"mickil jaiswal",8,7,2,129,"44*",25.8,92,140.22,0,0,2,0,4,10,6.57,23,"9.2",58.91,12.4,46.51,15.22,5.43,0.68,18.43,13.14,166.02,6,25000
"4106",4106,"shams mulani",35,16,7,127,"73",14.11,109,116.51,0,1,0,3,14,2,6.81,7.79,"54.5",53.54,44.09,9.45,14.68,4.25,0.63,7.94,6.81,130.62,7.56,25000
"4114",4106,"murugan ashwin",95,31,14,127,"34",7.47,138,92.03,0,0,1,5,5,5,13.8,27.6,"27.6",39.37,15.75,23.62,7.25,5,0.6,4.1,4.45,99.5,8.19,25000
"4120",4106,"anrich nortje",105,31,15,127,"25",7.94,122,104.1,0,0,0,4,14,2,7.63,8.71,"61",53.54,44.09,9.45,13.11,4.25,0.56,4.1,3.94,112.04,9.9,25000
"4149",4135,"james pattinson",57,26,9,125,"27",7.35,120,104.17,0,0,0,4,7,5,10,17.14,"24",46.4,22.4,24,10,4.83,0.62,4.81,4.62,111.52,8.46,125000
"4151",4135,"veerasammy permaul",88,33,16,125,"18",7.35,135,92.59,0,0,0,3,6,6,11.25,22.5,"22.5",48,19.2,28.8,8.89,5,0.53,3.79,4.09,99.95,9.15,37500
"4162",4152,"saurasish lahiri",22,17,3,124,"44",8.86,131,94.66,0,0,1,3,13,0,10.08,10.08,"0",41.94,41.94,0,9.92,4,0.61,7.29,7.71,103.51,6.12,12500
"4165",4152,"luvnith sisodia",15,9,0,124,"38",13.78,97,127.84,0,0,2,0,15,4,5.11,6.47,"24.25",67.74,48.39,19.35,19.59,4.42,0.51,13.78,10.78,141.61,3.78,25000
"4171",4152,"mohammed siraj",112,29,15,124,"14",8.86,148,83.78,0,0,0,3,14,2,9.25,10.57,"74",54.84,45.16,9.68,10.81,4.25,0.42,4.28,5.1,92.64,10.03,325000
"4172",4152,"fidel edwards",117,41,22,124,"11",6.53,140,88.57,0,0,0,7,8,4,11.67,17.5,"35",45.16,25.81,19.35,8.57,4.67,0.53,3.02,3.41,95.1,10.29,210000
"4187",4173,"madhav kaushik",6,6,0,123,"30",20.5,124,99.19,0,0,1,0,16,3,6.53,7.75,"41.33",66.67,52.03,14.63,15.32,4.32,0.39,20.5,20.67,119.69,1.67,25000
"4217",4209,"tunish sawkar",6,6,2,121,"36",30.25,87,139.08,0,0,1,0,8,7,5.8,10.88,"12.43",61.16,26.45,34.71,17.24,4.93,0.65,20.17,14.5,169.33,4.83,25000
"4241",4223,"praveen dubey",21,14,7,120,"33",17.14,111,108.11,0,0,1,1,9,3,9.25,12.33,"37",45,30,15,10.81,4.5,0.67,8.57,7.93,125.25,7,12500
"4249",4223,"sandeep lamichhane",142,39,22,120,"16",7.06,138,86.96,0,0,0,7,4,2,23,34.5,"69",23.33,13.33,10,4.35,4.67,0.7,3.08,3.54,94.02,9.62,25000
"4260",4250,"ali murtaza",33,11,5,119,"39",19.83,138,86.23,0,0,1,0,10,1,12.55,13.8,"138",38.66,33.61,5.04,7.97,4.18,0.57,10.82,12.55,106.07,8.09,12500
"4272",4270,"shafiqullah ghafari",14,10,1,118,"58",13.11,93,126.88,0,1,0,3,8,7,6.2,11.63,"13.29",62.71,27.12,35.59,16.13,4.93,0.56,11.8,9.3,139.99,5.3,25000
"4284",4270,"mark wood",53,16,9,118,"27",16.86,109,108.26,0,0,0,0,11,1,9.08,9.91,"109",42.37,37.29,5.08,11.01,4.17,0.7,7.38,6.81,125.11,9.31,937500
"4289",4270,"craig alexander",62,23,12,118,"22",10.73,109,108.26,0,0,0,4,6,7,8.38,18.17,"15.57",55.93,20.34,35.59,11.93,5.08,0.54,5.13,4.74,118.98,9.13,25000
"4298",4292,"mohit sharma",7,7,0,117,"45",16.71,103,113.59,0,0,2,1,13,1,7.36,7.92,"103",49.57,44.44,5.13,13.59,4.14,0.66,16.71,14.71,130.31,2.29,62500
"4304",4301,"agniv pan",11,7,2,117,"34",23.4,95,123.16,0,0,1,0,8,8,5.94,11.88,"11.88",68.38,27.35,41.03,16.84,5,0.47,16.71,13.57,146.56,5.57,25000
"4321",4313,"manoj bhandage",15,7,2,116,"41*",23.2,75,154.67,0,0,1,0,7,8,5,10.71,"9.38",65.52,24.14,41.38,20,5.07,0.67,16.57,10.71,177.87,6.57,25000
"4328",4313,"deepak punia",21,13,5,116,"30",14.5,114,101.75,0,0,1,1,5,5,11.4,22.8,"22.8",43.1,17.24,25.86,8.77,5,0.63,8.92,8.77,116.25,6.77,12500
"4343",4335,"saurabh kumar",29,14,3,115,"33",10.45,97,118.56,0,0,1,2,10,6,6.06,9.7,"16.17",66.09,34.78,31.3,16.49,4.75,0.48,8.21,6.93,129.01,6.79,25000
"4354",4335,"obed mccoy",72,21,7,115,"23",8.21,103,111.65,0,0,0,3,9,8,6.06,11.44,"12.88",73.04,31.3,41.74,16.5,4.94,0.36,5.48,4.9,119.86,10.05,93750
"4356",4335,"sayed shirzad",28,17,7,115,"19",11.5,97,118.56,0,0,0,1,14,1,6.47,6.93,"97",53.91,48.7,5.22,15.46,4.13,0.65,6.76,5.71,130.06,9.41,62500
"4364",4359,"dinesh bana",8,8,0,114,"43",14.25,103,110.68,0,0,1,0,9,5,7.36,11.44,"20.6",57.89,31.58,26.32,13.59,4.71,0.54,14.25,12.88,124.93,5.5,25000
